Scholarship Name,UG/PG,Bumiputera Only,Age Limit,Household Income (Max Annual RM),SPM Min Requirement (A),STPM Min Requirement,A-Level Min Requirement (A),Matriculation Min Requirement,Foundation Min Requirement,UG Min CGPA,Offered field of study
JPA Scholarship,UG,No,19,"RM63,108",9,3.5,3,3.75,3.75,3.3,"Engineering, Computer Science and IT, Business and Finance, Sciences, Law and Social Sciences"
JPA Scholarship,PG,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.67,"Engineering, Computer Science and IT, Business and Finance, Medicine and Health Care, Sciences, Law and Social Sciences"
MARA Scholarship,UG,Yes,40,"RM240,000",N/A,2.75,N/A,2.75,2.75,2.75,"Engineering, Computer Science and IT, Business and Finance, Medicine and Health Care, Sciences, Law and Social Sciences"
MARA Scholarship,PG,Yes,40,"RM240,000",N/A,N/A,N/A,N/A,N/A,3,"Engineering, Computer Science and IT, Business and Finance, Medicine and Health Care, Sciences, Law and Social Sciences"
Bank Negara Malaysia Kijang Scholarship,UG,No,19,N/A,8,3.5,3,3.5,3.5,3.5,"Computer Science and IT, Business and Finance, Sciences, Law and Social Sciences"
Petronas Education Sponsorship Programme ,UG,No,19,N/A,8,N/A,4,N/A,N/A,3.7,"Engineering, Computer Science and IT, Business and Finance, Sciences, Law and Social Sciences"
Yayasan Khazanah Scholarship ,UG,No,18,N/A,8,N/A,3,3.5,3.5,3.5,"Engineering, Computer Science and IT, Business and Finance, Medicine and Health Care, Sciences, Law and Social Sciences"
Yayasan Khazanah Scholarship ,PG,No,40,N/A,N/A,N/A,N/A,N/A,N/A,3.5,"Engineering, Computer Science and IT, Business and Finance, Medicine and Health Care, Sciences, Law and Social Sciences"
Shell Malaysia Scholarship,UG,No,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,"Engineering, Computer Science and IT, Business and Finance, Sciences"
Yayasan Sime Darby Scholarship ,UG,No,25,"RM132,000",N/A,3.3,3,3.3,3.3,N/A,"Engineering, Computer Science and IT, Business and Finance, Sciences, Law and Social Sciences"
Yayasan Sime Darby Scholarship ,PG,No,N/A,"RM132,000",N/A,N/A,N/A,N/A,N/A,3.5,"Engineering, Computer Science and IT, Business and Finance, Sciences, Law and Social Sciences"
Gamuda Scholarship,UG,No,19,N/A,N/A,3.4,3,3.4,3.4,N/A,"Engineering, Computer Science and IT, Business and Finance, Sciences, Law and Social Sciences"
